,Revenue,Company Name,Sector,Salary Estimate,Location,Type of Ownership,Industry,Job Title,Founded,Rating,Job Description,Size
831,Unknown / Non-Applicable,IntegrateUs Services,Information Technology,$53 Per Hour(Employer est.),Remote,Company - Public,Internet,Data Scientist,2006,4.2,"Data, Research & Insights
Data Science
About Creation Platform
Location
New York or Remote Americas
Job type
Permanent
Spotify is a global community of over 250 million music fans, artists, and now podcasters. It's always been our mission to make audio more accessible for everyone, and create innovative ways for creators and fans to connect with each other.

Creation Platform is the team within Spotify responsible for building the best tools for audio creators. We have two platforms that help us deliver a great creator experience: Anchor, (the platform that allows you to create, distribute, monetize, and grow a podcast, all for free;) and Spotify for Podcasters, (the platform that makes it easy to understand and engage with your listeners on Spotify.",5001 to 10000 Employees
832,,Newsly Technologies,,$53 Per Hour(Employer est.),United States,,,Data Scientist,,,"We are looking for a Full time contractor or employee for a Data Scientist role at one our client site.
NOTE: If you are interested and please apply to the applicant tracking system (ATS) link to be a qualified job applicant.
Apply to the below link is REQUIRED and will be _ considered as a valid job applicant._
https://app.unnanu.com/jobboard/apply/JID000001489?source=Indeed
Texas Health and Human Services Commission requires the services of 1 Data Scientist (Big Data Engineer) 2, hereafter referred to as Candidate(s), who meets the general qualifications of Data Scientist (Big Data Engineer) 2, Data/Database Administration and the specifications outlined in this document for the Texas Health and Human Services Commission.",
833,,Procter & Gamble,,$53 Per Hour(Employer est.),"Cincinnati, OH",,,Data Scientist Masters,,,"Company description
Newsly is an audio news and content aggregator mobile application. It picks up the web articles about the most trending subjects on the web at any given moment and and reads it to you in a natural human voice using AI technology. For the first time in the history of the internet, the web becomes listenable!
Think of it as a new browser, but this time the audio is at the forefront.
It will give people suffering from dyslexia and people with visual impairments a new and better way to consume content. It is also meant for the general audio lovers who listen to spoken audio (podcasts, audio-books) an option to listen to topical content.
It is also targeting general audiophiles who consume spoken audio content (podcasts, audio-books) in a market growing at 30% a year. BTW, we got podcasts as well, so you don't have to switch to another app.",
834,,Nestria,Manufacturing,$53 Per Hour(Employer est.),Remote,Company - Public,Consumer Products Manufacturing,Data Science Tutors,1837,4.2,"Do you enjoy design research and analytic frameworks? Use your creative and analytical skills to influence business leadership and get results. If this sounds like fun, we would love to hire someone with your skills and abilities.
As a Data Scientist, you'll be using Big Data and advanced analytics to direct the engagement of our business partners. Collaborate across functional partners and senior management to achieve various project objectives. We need someone who can execute research and analytics, including data source identification, processing, model/algorithm development. Ultimately you will be turning insights into impactful recommendations which will drive business value creation!
We need someone who is technically capable as a Data Scientist. You will get your hands dirty in the data, demonstrating artificial intelligence and analytic tools (R, Python, Scala, Spark, TensorFlow, Hadoop, KNIME, etc.) to unlock business building insights in our mountains of data. We are looking for you to be adept at demonstrating such technologies for solving ad hoc business problems, innovating on potential future solutions, and working with technology partners to translate your innovations into robust, scaled, analytic solutions.",10000+ Employees
835,,Eden Technologies,$5 to $10 million (USD),$53 Per Hour(Employer est.),Remote,IT Services,Information Technology,Data Scientist/Data Designer,Company - Private,,"We are looking for Data Science Tutors to help members analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to help others build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help others ramp up to analyze trends to make better decisions.
Areas for Tutoring
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns",
836,Unknown / Non-Applicable,OpenTable,Information Technology,$53 Per Hour(Employer est.),"Los Angeles, CA",Company - Public,Internet,Data Science Engineer,1998,4.0,"*Team sits in NYC so local candidates preferred, but FULLY REMOTE is acceptable for qualified candidates. Must be able to work on EST hours and be available for early meetings.*
Required Qualifications
Bachelor's Degree in Data Science, Computer Science, Applied Math, Operation Research, Statistics, Engineering (Civil, Chemical, Financial etc.) or other related field with minimum of 3 years of professional experience; Master's Degree with a minimum of 2 years of experience; or PhD with fellowship experience in the areas below
Responsibilities:
Leading project management activities, including communications within project teams, stakeholder management, and leadership updates",1001 to 5000 Employees
837,Unknown / Non-Applicable,McKinsey & Company,Business Services,$53 Per Hour(Employer est.),"East Boston, MA",Company - Private,Consulting,Junior Data Engineer - QuantumBlack,,4.0,"Senior Data Science Engineer
Job Type: Full-time
Location: San Francisco, CA
Department: Data Science
Responsibilities
Our team is looking for someone passionate about Machine Learning with a strong background in Software Engineering. The ideal candidate has worked on production APIs, implemented ML models, managed ETL pipelines, and they feel comfortable learning.",1001 to 5000 Employees
838,,Toyota,Business Services,$53 Per Hour(Employer est.),"Plano, TX",Company - Private,Consulting,Data Scientist,1926,4.4,"Qualifications
Degree in computer science, engineering, mathematics or equivalent experience
Ability to write clean and maintainable code in an object-oriented language (e.g. Python, Scala, Java)
Experience building data pipelines in a professional setting (e.g. internship) is a plus
Familiarity with analytics libraries (e.g. pandas, numpy, matplotlib), distributed computing frameworks (e.g. Spark, Dask) and cloud platforms (e.g. AWS, Azure, GCP)
Exposure to software engineering concepts and best practices, inc. DevOps, DataOps and MLOps is beneficial
Willingness to travel",10000+ Employees
839,$10 to $25 million (USD),Syrinx,Manufacturing,$53 Per Hour(Employer est.),Remote,Company - Public,Transportation Equipment Manufacturing,Data Scientist - Remote,1957,3.9,"Who We Are
Collaborative. Respectful. A place to dream and do. These are just a few words that describe what life is like at Toyota. As one of the world's most admired brands, Toyota is growing and leading the future of mobility through innovative, high-quality solutions designed to enhance lives and delight those we serve. We're looking for diverse, talented team members who want to Dream. Do. Grow. with us.
An important part of the Toyota family is Toyota Financial Services (TFS), the finance and insurance brand for Toyota and Lexus in North America. While TFS is a separate business entity, it is an essential part of this world-changing company – delivering on Toyota's vision to move people beyond what's possible. At TFS, you will help create best-in-class customer experiences in an innovative, collaborative environment.",10000+ Employees
840,$10+ billion (USD),Microsoft,Information Technology,$53 Per Hour(Employer est.),United States,Company - Public,Computer Hardware & Software,Content Developer 1,1975,4.4,"Content Developer, Microsoft Machine Learning documentation
Are you excited by AI, machine learning, and big data, and want to work with them up close? Do you love to play with code, data, and analytics tools? Are you a creative thinker with a passion for making a difference?

We’re looking for an experienced, empathetic instructional writer with a talent for making complex technologies accessible. You’re organized and thrive on deadlines. You enjoy the challenge of bringing together contributors to tell a compelling story. You’re customer-obsessed and eager to show impact. You set priorities using data. You use SEO practices to drive traffic to your documentation.

BTW: You sound awesome, and we would love to talk to you!

Here we highly value your skills and your work-life balance. Location in the greater-Seattle area isn’t required.",10000+ Employees
841,,Toyota,Information Technology,$53 Per Hour(Employer est.),"Plano, TX",Company - Public,Computer Hardware & Software,Junior Data Scientist,1975,4.4,"Content Developer, Microsoft Machine Learning documentation
Are you excited by AI, machine learning, and big data, and want to work with them up close? Do you love to play with code, data, and analytics tools? Are you a creative thinker with a passion for making a difference?

We’re looking for an experienced, empathetic instructional writer with a talent for making complex technologies accessible. You’re organized and thrive on deadlines. You enjoy the challenge of bringing together contributors to tell a compelling story. You’re customer-obsessed and eager to show impact. You set priorities using data. You use SEO practices to drive traffic to your documentation.

BTW: You sound awesome, and we would love to talk to you!

Here we highly value your skills and your work-life balance. Location in the greater-Seattle area isn’t required.",10000+ Employees
842,,Microsoft,Manufacturing,$53 Per Hour(Employer est.),United States,Company - Public,Transportation Equipment Manufacturing,Delivery Data Science IC3,1957,3.9,"Who We Are
Collaborative. Respectful. A place to dream and do. These are just a few words that describe what life is like at Toyota. As one of the world's most admired brands, Toyota is growing and leading the future of mobility through innovative, high-quality solutions designed to enhance lives and delight those we serve. We're looking for diverse, talented team members who want to Dream. Do. Grow. with us.
An important part of the Toyota family is Toyota Financial Services (TFS), the finance and insurance brand for Toyota and Lexus in North America. While TFS is a separate business entity, it is an essential part of this world-changing company – delivering on Toyota's vision to move people beyond what's possible. At TFS, you will help create best-in-class customer experiences in an innovative, collaborative environment.
Who We're Looking For",10000+ Employees
843,$10+ billion (USD),Pinnacle Group,Information Technology,$53 Per Hour(Employer est.),"Memphis, TN",Company - Public,Computer Hardware & Software,Data Engineer (Remote 667-1),1975,4.4,"OVERVIEW:

Are you ready to seize and opportunity to build advanced Artificial Intelligence (AI) and Machine Learning (ML) solutions leveraging the robust capabilities of the Microsoft Azure cloud? Do you thrive on taking a customer’s vision from brainstorming on a white board to operational capability that drives Digital Transformation? If so, then the Data Scientist role in Microsoft Consulting is the right career for you!

Microsoft Federal Consulting Services is dedicated to delivering on Microsoft’s mission to empower every person and every organization on the planet to achieve more. Our diverse team includes architects, data scientists, consultants, sales, and business leaders who serve our Federal government customer, including organizations in the Intelligence Community, National Security, Defense and Federal civilian agencies.

At Microsoft, we share knowledge, experiences, and resources to help each other achieve our career goals and grow both professionally and personally. We seek out people from diverse backgrounds who exhibit passion, technical competence, and experience in services delivery with complex projects or environments. Experience in this role will provide great opportunities to interact with pre-release versions, collaborate with product development teams and improve future versions of Microsoft products as a subject matter expert.",10000+ Employees
844,,Interview Query,,$53 Per Hour(Employer est.),Remote,Company - Public,$25 to $50 million (USD),Data Science Content Developer,1989,1.5,"Title: Data Engineer
Location: 100% Remote
Rate: $55/hr
Contract: Minimum 1 year

Must Have:
SQL
Hive
Python
Light UNIX",51 to 200 Employees
845,,Amer Technology In,,$53 Per Hour(Employer est.),"Austin, TX",,,Data Scientist,,,"Interview Query is a small data science startup completely remote! Our mission is to help anyone in the data science field pass their interviews and land a data science job with our data science preparation materials.
To help fuel our next phase of growth, we are seeking a high-energy and ambitious Data Science Content Developer to help us with creating learning materials. As a key hire in product and operations, this person's responsibility will be to work on sharing their expertise in data science, analytics, and machine learning to our broader customer base.
You will have the opportunity to work with the founders towards learning how to build a business and grow a business while writing to a target technical demographic. You will have a large scope of responsibility with the ability to see the results of your work reflected immediately. This is a great experience for anyone interested in entrepreneurship.
This is a part time role and is extremely flexible.",
846,$500 million to $1 billion (USD),Pacific Northwest National Laboratory,"Oil, Gas, Energy & Utilities",$53 Per Hour(Employer est.),"Richland, WA",,,Data Scientist,,,"Data Scientist Roles and Responsibilities
1. Accomplish the assigned activities and deliverables within project scope and schedule;
2. Lead focus group sessions or other information gathering sessions as needed, with active participation from subject matter experts and other stakeholders;
3. Work collaboratively with System Agency staff;
4. Escalate barriers and other issues to HHSC OIG as appropriate, immediately escalating concerns that may result in project implementation delays or increased costs;
5. Review, acknowledge in writing, and maintain consistent compliance with HHSC OIG’s applicable computer usage, security, privacy, confidentiality and non-disclosure policies;",
847,$500 million to $1 billion (USD),US Internal Revenue Service,"Oil, Gas, Energy & Utilities",$53 Per Hour(Employer est.),"Charlotte Amalie, VI",Government,Energy,Mathematical Statistician (Data Scientist) or Statistician (Data Scientist),1965,4.1,"Organization and Job ID
Job ID: 312391
Directorate: Physical & Computational Sciences
Division: Advanced Computing, Mathematics & Data
Group: Data Sciences & Machine Intelligence
Job Description
The Data Sciences & Machine Intelligence group in the Advanced Computing, Mathematics, and Data Division at PNNL seeks a multifaceted Data Scientist to join the group to lead and support scientific research in the broad areas of data science, machine intelligence, and autonomous learning and reasoning. This is an excellent opportunity to hone and develop your scientific career in an outstanding research institution by joining an interdisciplinary research team that focuses on accelerating scientific discovery. The primary emphasis of this position will be growing existing and adding new capabilities in the areas of Optimization, Machine Learning and Artificial Intelligence and help strengthen the group’s leadership in the emerging data science and machine intelligence fields. A successful candidate should have shown expertise in one or more of the following technical areas: optimization and optimization-based decision making, artificial intelligence and machine learning, and data analytics applied to modeling, diagnostics and control of cyber-physical systems, uncertainty quantification, system identification and model reduction, dynamical systems modeling and simulation, model predictive control, reinforcement learning algorithms, autonomous control and decision systems, and multi-agent systems.",1001 to 5000 Employees
848,Unknown / Non-Applicable,Allstate,Government,$53 Per Hour(Employer est.),"Northbrook, IL",Government,Federal Agencies,Avail - Staff Data Scientist (Remote Home Based Worker),1862,3.7,"Duties
Summary
Click on """" button below to view Eligibilities being considered and other IMPORTANT information.

WHERE CAN I FIND OUT MORE ABOUT OTHER IRS CAREERS? Visit us on the web at www.jobs.irs.gov

Responsibilities
WHAT IS THE RESEARCH, APPLIED ANALYTICS, AND STATISTICS (RAAS) DIVISION?
A description of the business units can be found at: https://www.jobs.irs.gov/about/who/business-divisions

The following are the duties of this position at the full working level. If you are selected at a lower grade level, you will have the opportunity to learn to perform these duties and will receive training to help you grow in this position.",10000+ Employees
849,$10+ billion (USD),Denken Solutions Inc,Insurance,$53 Per Hour(Employer est.),"Irvine, CA",Company - Public,Insurance Agencies & Brokerages,Data Science (100% Remote),1931,3.5,"Avail is a car sharing service to help people get where they want to go–whether that’s to run errands, take an unforgettable road trip, or explore a new city–while helping locals earn cash from their unused cars. We are passionate about making shared transportation safe, simple, and affordable, and redefining what it means to own a car.

We’ve assembled some of the sharpest folks from across industries to compete against the antiquated system of traditional car rental. We put ideas into action and learn along the way in an open, collaborative work environment. As a part of Avail, you’ll make a direct impact and help build a business from the ground up. No matter where you’ve been, we’re always looking for fresh thinking and new perspectives.
Job Summary",10000+ Employees
850,$25 to $50 million (USD),Journey Foods,Information Technology,$53 Per Hour(Employer est.),Texas,Company - Private,IT Services,Data Scientist,2010,4.2,"Role: Data Science

Location: Remote

Duration: contract ( W2 jobs)



Technology: Python Coding, SQL Database/Coding, Machine Learning and AI.

Experience: 2 to 6 years",201 to 500 Employees
851,,Cisco Systems,,$53 Per Hour(Employer est.),"San Jose, CA",Unknown / Non-Applicable,,Data Visualization Engineer,Unknown,,"Journey Foods is hiring a business-savvy Data Scientist with at least three years of experience who is interested in a fast-paced and intrapreneurial environment. Key technical skills include data wrangling and visualization, model building and deployment, and machine learning. Journey Foods will rely on the Data Scientist to create data science workflows and communicate requirements across various business units. Fluency in Python is required. Candidate preferably based in Austin, TX although flexible teleworking options are available. Full-time employment; immediate start date.",1 to 50 Employees
852,$10+ billion (USD),NSI Inc.,Information Technology,$53 Per Hour(Employer est.),Remote,Company - Private,Computer Hardware & Software,Data Scientist,1984,4.3,"Please note this posting is to advertise potential job opportunities. This exact role may not be open today, but could open in the near future. When you apply, a Cisco representative may contact you directly if a relevant position opens.
What You'll Do
Have you ever dreamt of joining a highly skilled team to build a groundbreaking product with a start-up spirit, yet the power of the top networking company in the world? This is the mission of our team. We are actively hiring highly skilled engineers, with a true passion for innovation. Our mission is to develop a new generation of routing engine for the Internet deeply using Data Analytics, Machine Learning (ML), and Artificial Intelligence (AI). The size, diversity, and richness of our data are simply unmatched. The Internet is changing fast, and we are too. The objective of this confidential product is to adopt a highly novel and ambitious approach for optimizing networks to better serve applications.
You will have a multi-faceted role, which covers data understanding and storytelling via visual analytics: You thrive in a dynamic environment that requires a rare blend of innovation and speed of execution. You are highly skilled in the trifecta for data visualization: visualization, statistical analysis and storytelling. You love playing with data and finding patterns that tell excellent data stories. You are skilled at extracting insights by applying visualization and statistical techniques from sophisticated, large and diverse datasets. You will research, build and deploy visualization frameworks for large datasets. You pride yourself on your communication and interpersonal skills, a keen eye for both aesthetic design and code. You have an ability to autonomously plan and organize your work assignments based on the objectives of the team. Who You'll Work With
Our team is made of engineers with a very diverse skillset united by their passion and the excitement of turning innovative ideas into products that impact the industry at large.
We love designing and implementing large-scale machine learning pipelines. Our technology stack includes Python, Scala, Go as well as a wide range of internal tools built on top of Apache Spark, TensorFlow, PostgreSQL and the Hadoop ecosystem. Who You Are
An agile, pragmatic, and hardworking engineer with experience in providing simple and intuitive visualization of sophisticated and intricate datasets. You love technology, innovation, and building products at scale.
You hold a degree in Computer Science or a related field with at least 6 years of experience. You can demonstrate a large portfolio of beautiful, intuitive, and interactive infographics that demonstrates your key strengths: Broad experience in turning diverse and sophisticated data into meaningful visualization. Attention to detail and an eye for aesthetic design. Experienced in Javascript (ES6) and data visualization technologies such as D3.js, Canvas, or WebGL. Knowledge of web frameworks (e.g., React) is a plus. Excellent quantitative, analytical, and communication skills; past experience working with mathematicians, scientists, or journalists is valuable. Excellent English spoken and written skills (C1 level) are a requirement. We Are Cisco
#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference powering an inclusive future for all.
We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (36 years strong) and only about hardware, but we’re also a software company. And a security company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!
But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)
Day to day, we focus on the give and take. We give our best, give our egos a break, and give of ourselves (because giving back is built into our DNA.) We take accountability, bold steps, and take difference to heart. Because without diversity of thought and a dedication to equality for all, there is no moving forward.
So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us!",10000+ Employees
853,,Tech True Up,,$53 Per Hour(Employer est.),Remote,,,Data Scientist,,,"NBI (commercial arm of NSI Inc) is looking for two data scientists to support one of our video game clients. The client is based in Europe (UK), but the person we hire for this position can work from anywhere. Please note, however, that only candidates who are currently authorized to work for any employer in the USA will be considered. The ideal candidate must be fluent in ensemble forecasting methods, and be able to program in R. 1-2 years of advanced, hands-on client-side experience with writing SQL queries (or similar) is a basic requirement. Video game experience is strongly preferred, as well as proven ability to work collaboratively in teams, and balancing multiple tasks. We are looking for people who will represent our brand with a great attitude, who like to have fun at work, can function well remotely, and are technically competent. Completed Master’s degree in statistics, data science, behavioral science, or related field is required.
Job Types: Full-time, Contract
Pay: From $85.00 per hour",
854,,Procter & Gamble,,$53 Per Hour(Employer est.),"Cincinnati, OH",,,Data Scientist PhD,,,"Job Post: Data Scientist II
Number of Positions: 2
Duration: 06 Months
Location: Works From Home/Colorado
Description:
Some of the characteristics the manager is looking for in a contractor for this role are:
Knowledge and experience in building and analyzing linear regression, logistic regression, generalized linear models, and time-series models",
855,,Nestria,,$53 Per Hour(Employer est.),Remote,Company - Public,,Python & Data Science Mentor,1837,4.2,"Do you enjoy design research and analytic frameworks? How would you like to use your creative and analytical skills alongside business leadership in your everyday work? If this sounds appealing, we would love to hire someone with your skills and abilities!
As a PhD Data Scientist, you'll be using Big Data and advanced analytics to direct the engagement of our business leaders.

Collaborating actively across functional partners and senior management to accomplish various project objectives.
Executing research and analytics, including data source identification, processing, model/algorithm development.
Turning insights into actionable recommendations which will drive business value creation.",10000+ Employees
856,$10+ billion (USD),Facebook,Information Technology,$53 Per Hour(Employer est.),Remote,Company - Public,Internet,"Data Engineer, Product Analytics",2004,,"Nestria is a network for learning and careers. We are seeking talented & experienced tech professionals to offer mentorship to applicants seeking jobs in the tech industry, and offer group mentorship sessions or classes to help their career journeys.
The primary thing that a mentee is looking for is support in their career. A lot of people will be in an early phase of their career where they are just starting out in an industry. They want help searching for a job, and understanding the different directions in which they can develop their career.
Ideal candidates are currently working in the tech industry. Feel free to apply if you think that you have adequate credentials to mentor job seekers for tech industry jobs in software development or data science.
Job Type: Part-time
Pay: $18.00 - $100.00 per hour",10000+ Employees
857,$10+ billion (USD),Salesforce,Information Technology,$53 Per Hour(Employer est.),Remote,Company - Public,Internet,Data Science Engineer,2004,4.3,"Every month, billions of people leverage Facebook products to connect with friends and loved ones from across the world. On the Data Engineering Team, our mission is to support these products both internally and externally by delivering the best data foundation that drives impact through informed decision making. As a highly collaborative organization, our data engineers work cross-functionally with software engineering, data science, and product management to optimize growth, strategy, and experience for over three billion users, as well as our internal employee community. In this role, you will see a direct correlation between your work, company growth, and user satisfaction. Beyond this, you will work with some of the brightest minds in the industry, and you'll have a unique opportunity to solve some of the most interesting data challenges around efficiency and integrity, at a scale few companies can match. As we continue to expand and create, we have a lot of exciting work ahead of us!
Manage and execute data warehouse plans for a product or a group of products to solve well-scoped problems.
Identify the data needed for a business problem and implement logging required to ensure availability of data, while working with data infrastructure to triage issues and resolve.
#LI-REMOTE",10000+ Employees
858,$10+ billion (USD),PRA Health Sciences,Information Technology,$53 Per Hour(Employer est.),Remote,Company - Public,Computer Hardware & Software,Statistical Programmer 1,1999,4.4,"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Products and Technology
Job Details
We're hiring across teams, which include: Analytics, Commerce, Einstein, IoT, Mulesoft, Search Relevance, Security, Service, Service Protection team, Marketing Cloud

In school, or graduated within the last 12 months? Please visit FutureForce for opportunities

Salesforce is looking for an exceptional engineer ideally with a dual background in machine learning and software engineering to help us take on one of the world’s most extensive data sets and transform it into amazing products that feel like magic. You will work on cutting-edge AI applications and products. Brainstorming data product ideas with data scientists and engineers to build data products used by hundreds of millions people every day.










Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records.",10000+ Employees
859,$2 to $5 billion (USD),Toyota,Biotech & Pharmaceuticals,$53 Per Hour(Employer est.),"Plano, TX",Company - Public,Biotech & Pharmaceuticals,Data Scientist,1976,4.1,"ICON plc is a world-leading healthcare intelligence and clinical research organisation. From molecule to medicine, we advance clinical research providing outsourced services to pharmaceutical, biotechnology, medical device and government and public health organisations.

With our patients at the centre of all that we do, we help to accelerate the development of drugs and devices that save lives and improve quality of life.

Our people are our greatest strength, are at the core of our culture, and the driving force behind our success. ICON people have a mission to succeed and a passion that ensures what we do, we do well.
Responsibilities",10000+ Employees
860,$10+ billion (USD),Halo Solutions,Manufacturing,$53 Per Hour(Employer est.),Remote,Company - Public,Transportation Equipment Manufacturing,Data Scientist,1957,3.9,"Who We Are
Collaborative. Respectful. A place to dream and do. These are just a few words that describe what life is like at Toyota. As one of the world's most admired brands, Toyota is growing and leading the future of mobility through innovative, high-quality solutions designed to enhance lives and delight those we serve. We're looking for diverse, talented team members who want to Dream. Do. Grow. with us.
An important part of the Toyota family is Toyota Financial Services (TFS), the finance and insurance brand for Toyota and Lexus in North America. While TFS is a separate business entity, it is an essential part of this world-changing company – delivering on Toyota's vision to move people beyond what's possible. At TFS, you will help create best-in-class customer experiences in an innovative, collaborative environment.",10000+ Employees
861,Unknown / Non-Applicable,McKinsey & Company,Business Services,$53 Per Hour(Employer est.),"East Boston, MA",Company - Private,Consulting,Junior Data Engineer - QuantumBlack,1926,,"Data Scientist for Halo Solutions
Job Title: Data Scientist
Location: Remote
Terms: Part time, Contract basis
Company Description:
Our central goal at Halo Solutions is helping healthcare organizations use their data more effectively.
Our primary focus right now is preventing missed cancer diagnoses using artificial intelligence. In order to do this, we work closely with data scientists, software engineers, physicians, and hospital administrators, all of whom share a common vision for improving patient health.",
862,Unknown / Non-Applicable,Spotify,Business Services,$53 Per Hour(Employer est.),"New York, NY",Company - Private,Consulting,"Machine Learning Research Scientist, Algorithmic Impact & Responsibility",1926,4.4,"Qualifications
Degree in computer science, engineering, mathematics or equivalent experience
Ability to write clean and maintainable code in an object-oriented language (e.g. Python, Scala, Java)
Experience building data pipelines in a professional setting (e.g. internship) is a plus
Familiarity with analytics libraries (e.g. pandas, numpy, matplotlib), distributed computing frameworks (e.g. Spark, Dask) and cloud platforms (e.g. AWS, Azure, GCP)
Exposure to software engineering concepts and best practices, inc. DevOps, DataOps and MLOps is beneficial
Willingness to travel",10000+ Employees
863,Unknown / Non-Applicable,BridgeBio,Information Technology,$53 Per Hour(Employer est.),Remote,Company - Public,Internet,Data Engineer/Data Science Engineer,2006,4.2,"Data, Research & Insights
Trust & Safety
Spotify is seeking an experienced Researcher to join our Algorithmic Impact & Responsibility effort. This effort focuses on empowering Spotify teams to assess the algorithmic impact of their products on audio culture, avoid algorithmic harms and unintended data or machine learning side effects, and better serve worldwide audiences and creators.
Location
New York or Remote Americas
Permanent
Your role will be to further shape algorithmic responsibility at Spotify, set policy and processes, while developing practical methods to ensure equitable outcomes with product teams in practice. You will ensure a better understanding of Spotify’s impact, as well as product-specific auditing methods that encourage equity in music and podcasts. You will increase our abilities to understand the effects of data, machine learning and recommendation choices on listener and creator communities, including topics such as information access and community growth.",5001 to 10000 Employees
864,Unknown / Non-Applicable,Spotify,Biotech & Pharmaceuticals,$53 Per Hour(Employer est.),"New York, NY",Company - Public,Biotech & Pharmaceuticals,"Data Scientist, Creation Platform",2015,4.2,"BridgeBio finds, develops, and delivers breakthrough medicines for genetic diseases. The company bridges remarkable advancements in genetic science with the entrepreneurial engine required to rapidly create lifesaving medicines for patients with unmet needs. Founded in 2015 by a team of industry veterans, the company has built a portfolio of 20 transformative drugs ranging from pre-clinical to late-stage development in multiple therapeutic areas including genetic dermatology, oncology, cardiology, neurology, endocrinology, renal disease, and ophthalmology. The company’s focus on scientific excellence and rapid execution aims to translate today’s discoveries into tomorrow’s medicines. We have offices in San Francisco, Palo Alto, Boston, New York, and Raleigh, with small satellites in other parts of the country.

To learn more, visit us at https://bridgebio.com

Who You Are:

The Computational Genetics team is seeking a full-time Data Engineer to build and maintain systems that extract biological insights from medical and genetic data leveraging methods and tools from multiple disciplines, including computational genetics, statistical inference, and machine learning. Besides the essential responsibilities, a senior-level engineer will be expected to drive the design of these systems.",201 to 500 Employees
865,Unknown / Non-Applicable,Newsly Technologies,Information Technology,$53 Per Hour(Employer est.),United States,Company - Public,Internet,Data Scientist,2006,4.2,"Data, Research & Insights
Data Science
About Creation Platform
Location
New York or Remote Americas
Job type
Permanent
Spotify is a global community of over 250 million music fans, artists, and now podcasters. It's always been our mission to make audio more accessible for everyone, and create innovative ways for creators and fans to connect with each other.

Creation Platform is the team within Spotify responsible for building the best tools for audio creators. We have two platforms that help us deliver a great creator experience: Anchor, (the platform that allows you to create, distribute, monetize, and grow a podcast, all for free;) and Spotify for Podcasters, (the platform that makes it easy to understand and engage with your listeners on Spotify.",5001 to 10000 Employees
866,,OpenTable,,$53 Per Hour(Employer est.),"Los Angeles, CA",,,Data Science Engineer,,,"Company description
Newsly is an audio news and content aggregator mobile application. It picks up the web articles about the most trending subjects on the web at any given moment and and reads it to you in a natural human voice using AI technology. For the first time in the history of the internet, the web becomes listenable!
Think of it as a new browser, but this time the audio is at the forefront.
It will give people suffering from dyslexia and people with visual impairments a new and better way to consume content. It is also meant for the general audio lovers who listen to spoken audio (podcasts, audio-books) an option to listen to topical content.
It is also targeting general audiophiles who consume spoken audio content (podcasts, audio-books) in a market growing at 30% a year. BTW, we got podcasts as well, so you don't have to switch to another app.",
867,Unknown / Non-Applicable,Procter & Gamble,Information Technology,$53 Per Hour(Employer est.),"Cincinnati, OH",Company - Public,Internet,Data Scientist Masters,1998,4.0,"Senior Data Science Engineer
Job Type: Full-time
Location: San Francisco, CA
Department: Data Science
Responsibilities
Our team is looking for someone passionate about Machine Learning with a strong background in Software Engineering. The ideal candidate has worked on production APIs, implemented ML models, managed ETL pipelines, and they feel comfortable learning.",1001 to 5000 Employees
868,$10+ billion (USD),Teladoc Health,Manufacturing,$53 Per Hour(Employer est.),Colorado,Company - Public,Consumer Products Manufacturing,Data Engineer,1837,4.2,"Do you enjoy design research and analytic frameworks? Use your creative and analytical skills to influence business leadership and get results. If this sounds like fun, we would love to hire someone with your skills and abilities.
As a Data Scientist, you'll be using Big Data and advanced analytics to direct the engagement of our business partners. Collaborate across functional partners and senior management to achieve various project objectives. We need someone who can execute research and analytics, including data source identification, processing, model/algorithm development. Ultimately you will be turning insights into impactful recommendations which will drive business value creation!
We need someone who is technically capable as a Data Scientist. You will get your hands dirty in the data, demonstrating artificial intelligence and analytic tools (R, Python, Scala, Spark, TensorFlow, Hadoop, KNIME, etc.) to unlock business building insights in our mountains of data. We are looking for you to be adept at demonstrating such technologies for solving ad hoc business problems, innovating on potential future solutions, and working with technology partners to translate your innovations into robust, scaled, analytic solutions.",10000+ Employees
869,,Lumen Energy,,$53 Per Hour(Employer est.),Remote,,,Data Scientist - Virtual/Remote,,,,
