,Salary Estimate,Sector,Rating,Company Name,Revenue,Job Title,Founded,Type of Ownership,Location,Size,Industry,Job Description
520,$23 - $31 Per Hour(Employer est.),Biotech & Pharmaceuticals,,Bayer,$10+ billion (USD),Data Science Co-Op,1863,Company - Private,"Chesterfield, MO",10000+ Employees,Biotech & Pharmaceuticals,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns and insights that will help our company and our clients. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company and our clients analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns"
521,$23 - $31 Per Hour(Employer est.),Biotech & Pharmaceuticals,4.1,Capgemini,$10+ billion (USD),Entry Level Data Engineer - September Start Date,1863,Company - Private,"New York, NY",10000+ Employees,Biotech & Pharmaceuticals,"Bayer is a global enterprise with core competencies in the Life Science fields of health care and agriculture. Its products and services are designed to benefit people and improve their quality of life. At Bayer you have the opportunity to be part of a culture where we value the passion of our employees to innovate and give them the power to change.


Data Science Co-Op"
522,$23 - $31 Per Hour(Employer est.),,,Pivosys Inc.,,Python Developer -With Data Science Experience,Company - Public,Unknown / Non-Applicable,"Sacramento, CA",1 to 50 Employees,,"Travel/Relocation: Must be open to both
Start date: September 20th

Working at Capgemini:

Are you interested in working in a high-tech global consulting firm focused on digital transformations and tech solution implementations? We are looking for a goal oriented compassionate person who can work in a fast-paced environment. Due to our rapid growth we are looking to hire a motivated person who is excited to take the next steps with Capgemini."
523,$23 - $31 Per Hour(Employer est.),Education,4.2,Salt Lake Community College,$50 to $100 million (USD),Data Engineer 1,1948,College / University,"Salt Lake City, UT",1001 to 5000 Employees,Colleges & Universities,"Python Developer - With Data Science Experience
C2C
Position is with Cognizant and so should not have a submission with them in the last 3 months. if you applied, don't apply now.
Job Type: Full-time
Pay: $35.00 - $56.00 per hour
Schedule:
8 hour shift"
524,$23 - $31 Per Hour(Employer est.),,4.2,FinTek Solutions LLC,,Data Science,1948,College / University,"Tampa, FL",1001 to 5000 Employees,,"Salt Lake Community College has made a commitment to becoming a data-informed institution to meet ambitious strategic planning metrics. A major portion of this initiative is fueled by the development and continued growth of the college’s data warehouse. The data engineer will work in Data Science and Analytics alongside a team of rockstar analysts, data visualizers, and data scientists to continue the development of the college’s data warehouse. The data engineer will develop, construct, test, and maintain analytical data architectures containing institutional data for Salt Lake Community College. The data engineer will take the lead in data warehouse development including identifying business needs, investigating and relating disparate data sources and creating efficient and performant data pipelines that process raw data into valuable data structures. The data engineer will proactively identify data quality issues and create quality assurance checks, reports, or apply transformations as needed. The data engineer may also develop data products, including dashboards or apps, to communicate complex data relationships or transformations.
Essential Responsibilities and Duties Essential Responsibilities and Duties Continued Preferred Qualifications
Experience with cloud technologies (Docker and Airflow in particular)
Experience with a data warehouse or data integration.
Experience working with a multidisciplinary team of researchers, analysts, and business data users.
Experience with higher education software such as Banner, Canvas, or Starfish.
Three (3) years of experience working with data.
Minimum Qualifications



Knowledge, Skills & Abilities
Non-Essential Responsibilities and Duties Special Instructions

FLSA Exempt SLCC Information"
525,$23 - $31 Per Hour(Employer est.),Biotech & Pharmaceuticals,4.1,Bayer,$10+ billion (USD),Precision Genomics Data Science Co-Op,1863,Company - Private,"Chesterfield, MO",10000+ Employees,Biotech & Pharmaceuticals,"Job Description
Visas accepted- H1B, H4-EAD, GC, GC-EAD, US Citizens, OPT
Must have :
TensorFlow 2.0 and above, TF sequential and Functional model,
TF activations functions : Must have hands on knowledge of RELU, Softmax, Tanh, Sigmoid
TF keras losses : Must have hands on MeanAbsxx, MeanSqxx and CrossEntropy
Keras, Keras functional API
Python - deep hands on knowledge of pandas and scikit
SQL , Stored procedures, Views
Linux : Reasonable working knowledge required, including basic shell scripting.
Nice to have : SQL Alchemy, CX_Oracle or similar direct to pandas integration with SQL. Tableau , Looker"
526,$23 - $31 Per Hour(Employer est.),,4.1,Pinnacle Group,,Data Engineer (Remote 667-1),1863,Company - Private,"Memphis, TN",10000+ Employees,Biotech & Pharmaceuticals,"Bayer is a global enterprise with core competencies in the Life Science fields of health care and agriculture. Its products and services are designed to benefit people and improve their quality of life. At Bayer you have the opportunity to be part of a culture where we value the passion of our employees to innovate and give them the power to change.


Precision Genomics Data Science Co-Op"
527,$23 - $31 Per Hour(Employer est.),,1.5,Peapod Digital Labs,,Data Science Co-Op,1989,Company - Public,"Chicago, IL",51 to 200 Employees,$25 to $50 million (USD),"Title: Data Engineer
Location: 100% Remote
Rate: $55/hr
Contract: Minimum 1 year

Must Have:
SQL
Hive
Python
Light UNIX"
528,$23 - $31 Per Hour(Employer est.),,,Brilliant,,Data Visualization Analyst,,,"Lake Forest, IL",,,
529,$23 - $31 Per Hour(Employer est.),Education,4.2,Indiana University,$2 to $5 billion (USD),Part-Time Marketing Data Analyst,1820,College / University,"Bloomington, IN",5001 to 10000 Employees,Colleges & Universities,"This is a 100% remote role.
No more than 3 years of experience.
Summary:
Data Visualization Analyst , you will be the data expert and advisor for Workforce Analytics. The position is critical in supporting multiple People Disciplines within the business
You will have the opportunity to:
Maintain weekly, monthly and quarterly workforce metrics and analysis
Provide written insights on scheduled and ad hoc data analysis request
Use consulting skills to determine and articulate internal customer business questions, develop the best approach for data analysis and turn data into actionable insights & actions
Support HR data analysis as assigned.
You will love it here if…
You are detail oriented
You thrive in a fast paced and high energy environment
You are a creative and dynamic problem solver
You are committed to excellence"
530,$23 - $31 Per Hour(Employer est.),Health Care,4.2,CVS Health,$10+ billion (USD),Data Science Analyst,1820,,"New York, NY",5001 to 10000 Employees,Health Care Services & Hospitals,"Department

VP COMMUNICATIONS & MARKETING (UA-VPCM-IUBLA)
Department Information

IU Studios, Indiana University's central marketing organization, seeks candidates to fill an hourly position for a Part-Time Marketing Data Analyst. This position is housed within the Brand Studio which serves as the strategic partner to schools, departments, and units in transforming how we market IU. This position will provide valuable experience for anyone interested in Salesforce technology or data science."
531,$23 - $31 Per Hour(Employer est.),Health Care,3.0,CBL Solutions,$10+ billion (USD),Data Science - Entry Level,1963,Company - Public,"Lawrenceville, NJ",10000+ Employees,Health Care Services & Hospitals,"It’s a new day in healthcare!

Combining CVS Health and Aetna was a ground-breaking moment for our company and our industry, establishing CVS Health as the nation’s premier health innovation company. Through our health services, insurance plans and community pharmacists, we’re pioneering a bold new approach to total health.

Looking for opportunities to use cutting edge technologies analyzing petabytes of data in a world class Hadoop cluster? Interested in generating analytical insights that inform provider networks and engagement strategies that support members on their individualized health and wellness journey? Aetna's Provider & Network Analytics team delivers strategically impactful programs and tools that expand convenient access to high-quality and affordable care for all members across multiple channels across all stages of life.

At Aetna, we’re pioneering a total approach to health and wellness. As a Data Analyst on the Analytics & Behavior Change team, you’ll build industry-leading analytics, data, and technology platforms to help reimagine health care. This position will play a critical role within a cross-functional team, delivering powerful solutions that inform network strategy and design, improve network performance and provider engagement, develop new provider offerings, and enhance consumer experience.

You will be part of a fast-paced, innovative, collaborative team, helping solve problems, drive impact, and deliver key insights to our customers by leveraging innovations in data science, machine & deep learning, and predictive modeling techniques. You will derive meaning from data and deploy robust solutions through provider-directed engagement channels (e.g., digital) that helps consumers identify affordable care, when they need it, and with whom.

Fundamental Components

Participates in the development, validation and delivery of algorithms, statistical models and reporting tools. Solves basic analytical problems.

Uses knowledge of basic big data concepts to contribute to existing analytics projects and initiatives.

Uses existing procedures and precedents to solve straightforward problems.

Familiarity with big data concepts. Works with manager and members of a single team.

Presents recommendations to manager of team.

With direction, performs analyses of structured and unstructured data to solve basic business problems utilizing advanced statistical techniques and mathematical analyses.

Uses data visualization techniques to effectively communicate analytical results and support business decisions.

Recommends additional sources of data for improvements.

Documents data gathering and processing and provides a detailed set of results and analytical metrics.


0 - 1 year of business experience leading analyses and initiatives with track record of business impact.

0-1 year total business experience. May be directly out of undergraduate program.

0 - 1 year of experience strategy consulting or on strategy teams in large companies

0 - 1 year experience programming using R, Hadoop, or Python

Experience in SAS or SQL or other programming languages.


Healthcare sector experience preferred

Demonstrates strong ability to communicate technical concepts and implications to business partners.

Anticipates and prevents problems and roadblocks before they occur.


Bachelor's degree in quantitative field, or an equivalent combination of formal education and experience.


At CVS Health, we are joined in a common purpose: helping people on their path to better health. We are working to transform health care through innovations that make quality care more accessible, easier to use, less expensive and patient-focused. Working together and organizing around the individual, we are pioneering a new approach to total health that puts people at the heart."
532,$23 - $31 Per Hour(Employer est.),Unknown / Non-Applicable,3.9,Atlanta Regional Commission,,Data Visualization Assistant – PT Temp,Government,State & Regional Agencies,"Atlanta Central City Post Offi, GA",51 to 200 Employees,Government,"Role - Data Science - Entry Level
Location - NJ
Experience - Fresher
Data Scientist Skills:
Statistics.
At least one programming language – R/ Python.
Data Extraction, Transformation, and Loading.
Data Wrangling and Data Exploration.
Machine Learning Algorithms.
Advanced Machine Learning (Deep Learning)"
533,$23 - $31 Per Hour(Employer est.),Business Services,,Accenture,$10+ billion (USD),Federal - Data Visualization Specialist,1989,Company - Public,"Arlington, VA",10000+ Employees,Consulting,"Center
Center for Livable Communities

Group
Research & Analytics

Salary Range
$15.00-$17.00




POSITION SUMMARY:"
534,$23 - $31 Per Hour(Employer est.),,2.4,FAAZ Consulting,,SAS Data Scientist,Company - Private,Unknown / Non-Applicable,"Washington, DC",201 to 500 Employees,,"Organization: Accenture Federal Services
Location: Washington, DC
We are:
Accenture Federal Services, helping our federal clients tackle their toughest challenges while unleashing their fullest potential…and then some. What makes our approach so unique? Operating from the nation’s capital, we bring together commercial innovation and leading-edge technologies to deliver an integrated and interactive experience that far exceeds expectations. How? Our passion meets purpose! Through our diverse culture and inclusive thinking, we embrace our employees' ideas taking them from concept to practical solutions. Not to mention, we sleep well at night knowing our work directly impacts and improves the way the world works. We keep our tech smarts sharp by providing abundant training and certification opportunities. Are you ready to learn and grow in a career, while making a difference?"
535,$23 - $31 Per Hour(Employer est.),,2.4,Toyota,,Junior Data Scientist,Company - Private,Unknown / Non-Applicable,"Plano, TX",201 to 500 Employees,,"Experience using Python
Experience with probabilistic modelling, clustering and deep learning frameworks
Experience with SQL and NoSQL
SAS Data Scientist Certification
Job Type: Full-time
Pay: $90.00 - $110.00 per hour
License/Certification:
SAS Data Scientist Certification (Preferred)"
536,$23 - $31 Per Hour(Employer est.),Manufacturing,3.9,Delta,$10+ billion (USD),Specialist,1957,Company - Public,"Atlanta Central City Post Offi, GA",10000+ Employees,Transportation Equipment Manufacturing,"Who We Are
Collaborative. Respectful. A place to dream and do. These are just a few words that describe what life is like at Toyota. As one of the world's most admired brands, Toyota is growing and leading the future of mobility through innovative, high-quality solutions designed to enhance lives and delight those we serve. We're looking for diverse, talented team members who want to Dream. Do. Grow. with us.
An important part of the Toyota family is Toyota Financial Services (TFS), the finance and insurance brand for Toyota and Lexus in North America. While TFS is a separate business entity, it is an essential part of this world-changing company – delivering on Toyota's vision to move people beyond what's possible. At TFS, you will help create best-in-class customer experiences in an innovative, collaborative environment.
Who We're Looking For"
537,$23 - $31 Per Hour(Employer est.),Information Technology,4.4,PayPal,$10+ billion (USD),Data Scientist 3,1928,Company - Public,"Wilmington, DE",10000+ Employees,Internet,"United States, Georgia, Atlanta
Inflight Services
15-Jul-2021
Ref #: 7941 How you'll help us Keep Climbing (overview & key responsibilities)
The Specialist will be responsible for driving all OBS Forecast for passenger supplies. These forecasts will include forward projections for supplier production as well as projections for the procurement function.

Work closely across the organization with the stakeholders of the OBS planning, service delivery, supply chain management, and finance groups to generate operational inventory projections
Generate station and warehouse targets (maximum order quantities) based on flight schedule and provisioning estimates
Work closely with the OnBoard Services operational teams to understand operational changes and how they will impact inventory needs
Assist in the development of a new forecasting tools
Identify and develop reports for commonly requested forecast needs
Create dashboards for business users
Clearly articulate forecasting assumptions
Work with operational team to continuously cleanse data with the expectation of constantly improving forecast projections
Be well versed in all OBS processes to help brainstorm process improvement opportunities

What you need to succeed (minimum qualifications)
Where permitted by applicable law, must have received or be willing to receive the COVID-19 vaccine by date of hire to be considered for U.S.-based job, if not currently employed by Delta Air Lines, Inc.
Embraces diverse people, thinking and styles
Consistently makes safety and security, of self and others, the priority
Advanced degree or certification in statistics, information technology, supply chain, IT, business management, engineering or related field
Knowledge of SQL required
Experience with data science tools (R, Python, SAS) preferred
Excellent data analytical skillsable to pull together and combine data from disparate sources to analyze and summarize into recommendations and actions
Excellent cross-organization problem resolution and communication skills
Demonstrated Leadership Potential

What will give you a competitive edge (preferred qualifications) N/A < Go back"
538,$23 - $31 Per Hour(Employer est.),Information Technology,4.1,Facebook,$10+ billion (USD),"Data Scientist, Analytics (University Grad)",1998,Company - Public,"Menlo Park, CA",10000+ Employees,Internet,"Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 392 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.
Job Description Summary: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 392 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies. Looking for a seasoned analytics professional to join the Global Merchant Lending analytics team and make an immediate impact. The ideal candidate is highly skilled in credit card marketing analytics and can deliver results for our stakeholders."
539,$23 - $31 Per Hour(Employer est.),Information Technology,4.4,Salesforce,$10+ billion (USD),Data Science Engineer,2004,Company - Public,"Seattle, WA",10000+ Employees,Internet,"Are you passionate about Facebook’s product, analytics and technology? The Analytics team is looking for fast-moving analytics candidates and data junkies who want to make an impact. Candidates will help own analytics for a particular product or business at Facebook and work with product managers and engineers to translate the analysis into meaningful impact to the business. Please note that candidates will have a general interview and then we will make a determination of actual team assignments.
Perform large-scale data analysis and develop effective statistical models for segmentation, classification, optimization, time series, etc.
Design and implement reporting dashboards that track key business metrics and provide actionable insights
Identify actionable insights, suggest recommendations and influence the direction of the business by effectively communicating results to cross-functional groups
Work closely with Product or Engineering & Operations teams to proactively create rule and manage decisions"
540,$23 - $31 Per Hour(Employer est.),Information Technology,4.4,Facebook,$10+ billion (USD),Data Analyst - Ads Revenue Accounting,2004,Company - Public,"Fremont, CA",10000+ Employees,Internet,"Facebook is seeking an intellectually curious professional who will drive analysis and generate actionable insights to support the revenue accounting team and their business partners. You will partner with team members to develop analytical controls and to improve the overall accuracy of the revenue streams and the efficiency of our accounting processes. You will be challenged everyday to utilize deep knowledge of SQL and statistics to solve complex problems in a scalable way. You will be responsible for translating complex data into meaningful interpretations and recommendations for your business partners.
Work with large complex data sets to solve difficult, non-routine, analysis problems
Collaborate with a wide variety of cross-functional partners to understand business needs, formulate and complete data analysis, and distill complex analysis into insights
Leverage analytical techniques to improve accuracy of our revenue streams
Develop and maintain SQL scripts for the revenue accounting team
Deliver dashboards and reporting on a regular cadence to allow business users to interact with the complex analysis work"
541,$23 - $31 Per Hour(Employer est.),Information Technology,4.4,Capgemini,$10+ billion (USD),Data Governance Tool/Analyst,2004,Company - Public,"Las Vegas, NV",10000+ Employees,Internet,"Facebook is seeking an intellectually curious professional who will drive analysis and generate actionable insights to support the revenue accounting team and their business partners. You will partner with team members to develop analytical controls and to improve the overall accuracy of the revenue streams and the efficiency of our accounting processes. You will be challenged everyday to utilize deep knowledge of SQL and statistics to solve complex problems in a scalable way. You will be responsible for translating complex data into meaningful interpretations and recommendations for your business partners.
Work with large complex data sets to solve difficult, non-routine, analysis problems
Collaborate with a wide variety of cross-functional partners to understand business needs, formulate and complete data analysis, and distill complex analysis into insights
Leverage analytical techniques to improve accuracy of our revenue streams
Develop and maintain SQL scripts for the revenue accounting team
Deliver dashboards and reporting on a regular cadence to allow business users to interact with the complex analysis work"
542,$23 - $31 Per Hour(Employer est.),Finance,4.4,Citi,$10+ billion (USD),"Entry-Level Data Positions (Data Engineer, Machine Learning & Visualization)",2004,Company - Public,"Irving, TX",10000+ Employees,Internet,"Facebook is seeking an intellectually curious professional who will drive analysis and generate actionable insights to support the revenue accounting team and their business partners. You will partner with team members to develop analytical controls and to improve the overall accuracy of the revenue streams and the efficiency of our accounting processes. You will be challenged everyday to utilize deep knowledge of SQL and statistics to solve complex problems in a scalable way. You will be responsible for translating complex data into meaningful interpretations and recommendations for your business partners.
Work with large complex data sets to solve difficult, non-routine, analysis problems
Collaborate with a wide variety of cross-functional partners to understand business needs, formulate and complete data analysis, and distill complex analysis into insights
Leverage analytical techniques to improve accuracy of our revenue streams
Develop and maintain SQL scripts for the revenue accounting team
Deliver dashboards and reporting on a regular cadence to allow business users to interact with the complex analysis work"
543,$23 - $31 Per Hour(Employer est.),Finance,3.9,Treeco Group,$10+ billion (USD),Data Engineer,1812,Company - Public,"Chicago, IL",10000+ Employees,Investment Banking & Asset Management,"Citi Consumer Technology is seeking dozens of talented entry-level engineers for its Data & Analytics organization, based in Dallas, Texas, and Jacksonville, Fla.
We work with a variety of technologies and are hiring across multiple teams, including Visualization, Data Engineering & Machine Learning Engineering. You’ll find more information below on our roles, our interview process, and our commitment to your growth and development.
Applications are accepted year-round, with multiple start dates organized around orientation trainings.
Our Organization
The best way to think about Citi Consumer Technology is that we’re a tech company inside a bank. We develop software that has a variety of end users: mobile apps and websites that help our customers manage their money, desktop software that allows our customer service agents to provide help and advice, and internal databases, microservices or tools that teams at Citi rely upon every day.
Technology
Digital Software Engineering"
544,$23 - $31 Per Hour(Employer est.),$10+ billion (USD),,Mayo Clinic,,Associate Data Science Analyst - DOM AI and Innovation,,,"Rochester, MN",,Health Care,
545,$23 - $31 Per Hour(Employer est.),$10+ billion (USD),4.2,Accenture,,Data Science Specialist,Nonprofit Organization,Health Care Services & Hospitals,"East Boston, MA",10000+ Employees,Health Care,"City
Rochester
State
Minnesota
Telecommute
No
Department
Research
Why Mayo Clinic
Mayo Clinic is the nation's best hospital (U.S. News & World Report, 2020-2021) and ranked #1 in more specialties than any other care provider. We have a vast array of opportunities ranging from Nursing, Clinical, to Finance, IT, Administrative, Research and Support Services to name a few. Across all locations, you'll find career opportunities that support diversity, equity and inclusion. At Mayo Clinic, we invest in you with opportunities for growth and development and our benefits and compensation package are highly competitive. We invite you to be a part of our team where you'll discover a culture of teamwork, professionalism, mutual respect, and most importantly, a life-changing career!"
546,$23 - $31 Per Hour(Employer est.),,5.0,people*strata,,"Associate, Data Science",Company - Public,Unknown / Non-Applicable,"Cincinnati, OH",1 to 50 Employees,,"Organization: Corporate Functions/Research
Location: US Negotiable - New York, Boston, Chicago, Atlanta
Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functions — underpinned by the world’s largest delivery network — Accenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With 505,000 people serving clients in more than 200 cities with operations across 51 countries, Accenture drives innovation to improve the way the world works and lives. Visit us at www.accenture.com.
People in the Corporate Function contribute to the running of Accenture as a high- performance business through specialization within a specific functional area, and grow into internally focused roles by deepening their skills and/or developing new skills within an internal functional area."
547,$23 - $31 Per Hour(Employer est.),Information Technology,3.8,Capgemini,$10+ billion (USD),Big Data Dev,1967,Company - Public,"Atlanta Central City Post Offi, GA",10000+ Employees,Enterprise Software & Network Solutions,"ENGINE is a media and marketing services company that exists to futureproof clients business. In a fast-changing world, we empower our clients to outperform in the present and win in the future. Driven by data. Fueled by imagination. Powered by technology. Engine is an ecosystem of creative wunderkinds, uber-nerds, business consultants, cultural mavens, and channel specialists working together to help our clients grow. With global headquarters in New York and 16 locations across North America, the UK, Europe, and Asia-Pacific, Engine offers clients a vast range of marketing solutionsincluding insights, content, distribution, data and technology.

POSITION SUMMARY:"
548,$23 - $31 Per Hour(Employer est.),Information Technology,3.8,FedEx Services,$10+ billion (USD),Data Analyst,1967,Company - Public,Virginia,10000+ Employees,Enterprise Software & Network Solutions,"Duration: 3+Months

Requirements:

Can deploy infrastructure on their own
Can setup CI/CD on their own
Is familiar with testing strategies
In depth knowledge of SQL and relational databases
Has exposure to other types of databases such as NoSQL
Understands enough about metadata and data governance"
549,$23 - $31 Per Hour(Employer est.),Information Technology,3.8,RMDS Lab,$10+ billion (USD),Data Scientist for GRMDS.org,1967,Company - Public,"Pasadena, CA",10000+ Employees,Enterprise Software & Network Solutions,"Duration: 3+Months

Requirements:

Can deploy infrastructure on their own
Can setup CI/CD on their own
Is familiar with testing strategies
In depth knowledge of SQL and relational databases
Has exposure to other types of databases such as NoSQL
Understands enough about metadata and data governance"
550,$23 - $31 Per Hour(Employer est.),Biotech & Pharmaceuticals,4.1,Bayer,$10+ billion (USD),Data Science Co-Op,1863,Company - Private,"Chesterfield, MO",10000+ Employees,Biotech & Pharmaceuticals,
551,$23 - $31 Per Hour(Employer est.),Information Technology,4.1,Capgemini,$10+ billion (USD),Entry Level Data Engineer - September Start Date,1967,Company - Public,"New York, NY",,Enterprise Software & Network Solutions,"Bayer is a global enterprise with core competencies in the Life Science fields of health care and agriculture. Its products and services are designed to benefit people and improve their quality of life. At Bayer you have the opportunity to be part of a culture where we value the passion of our employees to innovate and give them the power to change.


Data Science Co-Op"
552,$23 - $31 Per Hour(Employer est.),Information Technology,3.8,Pivosys Inc.,$10+ billion (USD),Python Developer -With Data Science Experience,1967,Company - Public,"Sacramento, CA",10000+ Employees,Enterprise Software & Network Solutions,"Travel/Relocation: Must be open to both
Start date: September 20th

Working at Capgemini:

Are you interested in working in a high-tech global consulting firm focused on digital transformations and tech solution implementations? We are looking for a goal oriented compassionate person who can work in a fast-paced environment. Due to our rapid growth we are looking to hire a motivated person who is excited to take the next steps with Capgemini."
553,$23 - $31 Per Hour(Employer est.),Education,,Salt Lake Community College,$50 to $100 million (USD),Data Engineer 1,1948,College / University,"Salt Lake City, UT",,Colleges & Universities,"Python Developer - With Data Science Experience
C2C
Position is with Cognizant and so should not have a submission with them in the last 3 months. if you applied, don't apply now.
Job Type: Full-time
Pay: $35.00 - $56.00 per hour
Schedule:
8 hour shift"
554,$23 - $31 Per Hour(Employer est.),Education,4.2,FinTek Solutions LLC,$50 to $100 million (USD),Data Science,1948,College / University,"Tampa, FL",1001 to 5000 Employees,Colleges & Universities,"Salt Lake Community College has made a commitment to becoming a data-informed institution to meet ambitious strategic planning metrics. A major portion of this initiative is fueled by the development and continued growth of the college’s data warehouse. The data engineer will work in Data Science and Analytics alongside a team of rockstar analysts, data visualizers, and data scientists to continue the development of the college’s data warehouse. The data engineer will develop, construct, test, and maintain analytical data architectures containing institutional data for Salt Lake Community College. The data engineer will take the lead in data warehouse development including identifying business needs, investigating and relating disparate data sources and creating efficient and performant data pipelines that process raw data into valuable data structures. The data engineer will proactively identify data quality issues and create quality assurance checks, reports, or apply transformations as needed. The data engineer may also develop data products, including dashboards or apps, to communicate complex data relationships or transformations.
Essential Responsibilities and Duties Essential Responsibilities and Duties Continued Preferred Qualifications
Experience with cloud technologies (Docker and Airflow in particular)
Experience with a data warehouse or data integration.
Experience working with a multidisciplinary team of researchers, analysts, and business data users.
Experience with higher education software such as Banner, Canvas, or Starfish.
Three (3) years of experience working with data.
Minimum Qualifications



Knowledge, Skills & Abilities
Non-Essential Responsibilities and Duties Special Instructions

FLSA Exempt SLCC Information"
555,$23 - $31 Per Hour(Employer est.),Biotech & Pharmaceuticals,,Bayer,$10+ billion (USD),Precision Genomics Data Science Co-Op,1863,Company - Private,"Chesterfield, MO",10000+ Employees,Biotech & Pharmaceuticals,"Job Description
Visas accepted- H1B, H4-EAD, GC, GC-EAD, US Citizens, OPT
Must have :
TensorFlow 2.0 and above, TF sequential and Functional model,
TF activations functions : Must have hands on knowledge of RELU, Softmax, Tanh, Sigmoid
TF keras losses : Must have hands on MeanAbsxx, MeanSqxx and CrossEntropy
Keras, Keras functional API
Python - deep hands on knowledge of pandas and scikit
SQL , Stored procedures, Views
Linux : Reasonable working knowledge required, including basic shell scripting.
Nice to have : SQL Alchemy, CX_Oracle or similar direct to pandas integration with SQL. Tableau , Looker"
556,$23 - $31 Per Hour(Employer est.),,4.1,Pinnacle Group,,Data Engineer (Remote 667-1),,Company - Public,"Memphis, TN",10000+ Employees,$25 to $50 million (USD),"Bayer is a global enterprise with core competencies in the Life Science fields of health care and agriculture. Its products and services are designed to benefit people and improve their quality of life. At Bayer you have the opportunity to be part of a culture where we value the passion of our employees to innovate and give them the power to change.


Precision Genomics Data Science Co-Op"
557,$23 - $31 Per Hour(Employer est.),Information Technology,1.5,Peapod Digital Labs,Unknown / Non-Applicable,Data Science Co-Op,1989,Company - Public,"Chicago, IL",51 to 200 Employees,IT Services,"Title: Data Engineer
Location: 100% Remote
Rate: $55/hr
Contract: Minimum 1 year

Must Have:
SQL
Hive
Python
Light UNIX"
558,$23 - $31 Per Hour(Employer est.),Information Technology,3.8,Brilliant,Unknown / Non-Applicable,Data Visualization Analyst,2018,Company - Public,"Lake Forest, IL",501 to 1000 Employees,IT Services,"What’s Our Dish
Announced in May 2018, Peapod Digital Labs (PDL) is an Ahold Delhaize USA company that powers the eCommerce and digital strategies for the Great Local Brands of Ahold Delhaize USA. Accelerating growth in digital and personalization capabilities, PDL is an innovation lab focused on meeting the changing needs of customers, regardless of when, where, and how consumers choose to shop.

Browse The Aisles
A co-op position with our Data Science team is a great way to get hands on experience and mentorship with industry-leading personalization algorithms. This position is an opportunity to collaborate with a fast-growing and globally focused network of data scientists, machine learning engineers, and AI practitioners developing novel approaches to personalization and recommender engines. You will be very hands on and will actively contribute to our code base and algorithm brainstorms.

Recipe for Success - What's “in store” for the role
Create algorithms to better personalize every customer touch point
Develop our core algorithms with strong methodological rigor
Identify strengths, weaknesses, and potential biases of modeling components
Assist Machine Learning Engineers in the development of SDKs for rapid prototyping and deployment of algorithms
Build robust experimentation algorithms to continually improve existing algorithms

The Essentials In Your Cart - The required ingredients
Must be eligible to work in the United States without sponsorship now or in the future (including OPT)
Enrolled in school at the start of the co-op (June 21st – December 17th)
Located in one of our office locations – preference to candidates located in Chicago (IL), Quincy (MA), and Salisbury (NC)

Extra Spices - What you should bring to the table
Strong coding ability in Python. Knowledge of other languages is a bonus!
Familiarity with IDEs, we use PyCharm


Regression, classification, clustering, and time series algorithms
Hyperparameter tuning and model selection
Collaborative filtering
Linear and scalar algebra
Causal inference modeling
Deep learning
NLP

Join Us at Our Table
Peapod Digital Labs is a forward-thinking company with a strong legacy of innovation. We recognize who powers our progress – our people! We offer a great variety of benefits and perks to our employees, including: great health care options, including PPO and HSA plans (with company contributions), dental, vision, flexible spending accounts, a 401k with strong company match and immediate vesting, and generous and flexible paid time off.

We are an equal opportunity employer. We comply with all applicable federal, state and local laws. Qualified applicants are considered without regard to sex, race, color, ancestry, national origin, citizenship status, religion, age, marital status (including civil unions), military service, veteran status, pregnancy (including childbirth and related medical conditions), genetic information, sexual orientation, gender identity, legally recognized disability, domestic violence victim status or any other characteristic protected by law.

6980_external_IL-Chicago"
